iter	MultiClass
0	1.705365118
1	1.643759624
2	1.601949448
3	1.568146795
4	1.539943817
5	1.51577468
6	1.493162638
7	1.474612825
8	1.459145201
9	1.444895104
10	1.432128206
11	1.420206191
12	1.408261247
13	1.398799646
14	1.388861787
15	1.381073133
16	1.372152838
17	1.363390622
18	1.356373486
19	1.349867682
20	1.342679853
21	1.335683643
22	1.330085367
23	1.325109226
24	1.31996008
25	1.314763625
26	1.310047087
27	1.304521559
28	1.300091735
29	1.296336159
30	1.291931329
31	1.288172452
32	1.284776819
33	1.280916653
34	1.277549717
35	1.274334811
36	1.271454941
37	1.268256484
38	1.265207445
39	1.262330108
40	1.259506066
41	1.256192393
42	1.253909298
43	1.251333296
44	1.24913161
45	1.245862688
46	1.243464089
47	1.240422617
48	1.238712941
49	1.236417209
50	1.234401708
51	1.23248604
52	1.23004225
53	1.227848033
54	1.225974618
55	1.224188383
56	1.221908211
57	1.220065527
58	1.218171033
59	1.215998713
60	1.214089469
61	1.212284802
62	1.210637426
63	1.209270125
64	1.207702129
65	1.206356841
66	1.205155894
67	1.203802079
68	1.202168339
69	1.200693777
70	1.198888195
71	1.197426197
72	1.196201886
73	1.194958373
74	1.193586742
75	1.192098718
76	1.190761324
77	1.189501911
78	1.188204028
79	1.186857771
80	1.185693371
81	1.184561358
82	1.18362357
83	1.182306519
84	1.181269523
85	1.180022455
86	1.178784278
87	1.177569978
88	1.176372252
89	1.175155299
90	1.17390567
91	1.172744599
92	1.171629391
93	1.17055923
94	1.169486728
95	1.168113008
96	1.16720099
97	1.166019414
98	1.165038796
99	1.164192252
100	1.163045751
101	1.161960247
102	1.161030865
103	1.160080778
104	1.158998363
105	1.157718167
106	1.156712357
107	1.155729255
108	1.154641876
109	1.153450078
110	1.15255213
111	1.151637052
112	1.150529084
113	1.14952997
114	1.14880496
115	1.147935951
116	1.146825864
117	1.145915401
118	1.145141229
119	1.143960323
120	1.143061751
121	1.142208013
122	1.141343226
123	1.140572429
124	1.1397222
125	1.138927839
126	1.138019463
127	1.136998915
128	1.136059283
129	1.134858145
130	1.134011057
131	1.133246673
132	1.13254761
133	1.13169719
134	1.130886522
135	1.129903707
136	1.129008352
137	1.128192984
138	1.127361024
139	1.126611374
140	1.12552916
141	1.124666149
142	1.12378005
143	1.123086583
144	1.122349629
145	1.121652164
146	1.120909732
147	1.120163743
148	1.119345091
149	1.118541288
150	1.117893566
151	1.117158249
152	1.116656594
153	1.115942188
154	1.11536747
155	1.114705996
156	1.113994964
157	1.113164705
158	1.112449597
159	1.111717318
160	1.111076013
161	1.110309397
162	1.109630487
163	1.109092946
164	1.108486848
165	1.107976299
166	1.107273069
167	1.106641168
168	1.106003656
169	1.105377761
170	1.104785419
171	1.1043199
172	1.103817866
173	1.103188485
174	1.102465942
175	1.101814786
176	1.101178981
177	1.100664874
178	1.100148175
179	1.099652468
180	1.099044598
181	1.098412921
182	1.097824788
183	1.097249934
184	1.096528335
185	1.095994924
186	1.095492138
187	1.095038127
188	1.094578985
189	1.094116043
190	1.093513073
191	1.093111018
192	1.09270636
193	1.092317498
194	1.091910454
195	1.091408888
196	1.090892026
197	1.090221691
198	1.08979843
199	1.08945207
200	1.089059724
201	1.08850847
202	1.088061972
203	1.087500952
204	1.087063324
205	1.086553324
206	1.086108263
207	1.085697509
208	1.085297514
209	1.084813764
210	1.084350213
211	1.083929684
212	1.08354117
213	1.083183053
214	1.082530866
215	1.081995934
216	1.081568593
217	1.081161425
218	1.080674384
219	1.080158573
220	1.079766326
221	1.079367628
222	1.078981995
223	1.07857079
224	1.078199841
225	1.077706389
226	1.077268493
227	1.076802188
228	1.076361755
229	1.076030511
230	1.075597957
231	1.075212779
232	1.074809392
233	1.074332523
234	1.073979663
235	1.073593394
236	1.073205633
237	1.072780954
238	1.072376523
239	1.072006619
240	1.071669136
241	1.071192876
242	1.07086273
243	1.070570054
244	1.070142127
245	1.069858024
246	1.069511122
247	1.069134313
248	1.068755723
249	1.068438616
250	1.068059712
251	1.06766259
252	1.067321002
253	1.06689337
254	1.066506759
255	1.066212982
256	1.065966646
257	1.065699213
258	1.065330115
259	1.065085723
260	1.064762003
261	1.06447053
262	1.064106545
263	1.063812949
264	1.063548955
265	1.06301836
266	1.062761456
267	1.062500539
268	1.062198172
269	1.061816548
270	1.061447517
271	1.061107805
272	1.060821269
273	1.060509865
274	1.060255342
275	1.059941607
276	1.05963621
277	1.059291243
278	1.058954597
279	1.058664809
280	1.05834694
281	1.057991325
282	1.0577101
283	1.057486946
284	1.057202806
285	1.056980489
286	1.056710442
287	1.056440508
288	1.056133047
289	1.055804806
290	1.055571028
291	1.05527189
292	1.054958152
293	1.054580448
294	1.05436662
295	1.054184624
296	1.053910025
297	1.053588715
298	1.053233333
299	1.053047905
300	1.052817474
301	1.052544147
302	1.052245169
303	1.052071892
304	1.051829947
305	1.051608199
306	1.051252065
307	1.051006093
308	1.050759855
309	1.050378182
310	1.05012422
311	1.049876415
312	1.049562759
313	1.049345853
314	1.049088953
315	1.048775886
316	1.048414553
317	1.048089352
318	1.047808763
319	1.047590514
320	1.047360213
321	1.047129593
322	1.046819513
323	1.046569243
324	1.046293074
325	1.046054682
326	1.045788517
327	1.045577122
328	1.045408913
329	1.045176321
330	1.044816059
331	1.044579894
332	1.044373214
333	1.044121093
334	1.043820168
335	1.043570157
336	1.043405276
337	1.043238589
338	1.04305824
339	1.04279012
340	1.04251121
341	1.042310332
342	1.042147655
343	1.041868079
344	1.041676022
345	1.04143617
346	1.041297542
347	1.041174599
348	1.040943203
349	1.040803377
350	1.040600418
351	1.040368077
352	1.040151564
353	1.03997677
354	1.039779969
355	1.039543558
356	1.039307286
357	1.039115516
358	1.038947071
359	1.03873117
360	1.03845794
361	1.038201468
362	1.037969239
363	1.037696944
364	1.037580286
365	1.037392909
366	1.037230771
367	1.037024707
368	1.036824075
369	1.036598435
370	1.036395929
371	1.036236047
372	1.035981356
373	1.035758899
374	1.035461928
375	1.03527561
376	1.035067039
377	1.034833332
378	1.034612721
379	1.034426665
380	1.034304001
381	1.034063073
382	1.033797518
383	1.033569728
384	1.03336844
385	1.033131359
386	1.032922096
387	1.032766797
388	1.032618607
389	1.032479041
390	1.03221309
391	1.032060377
392	1.031818625
393	1.031586614
394	1.031436458
395	1.031310287
396	1.031148472
397	1.03098452
398	1.030813091
399	1.030603491
400	1.030394839
401	1.030229094
402	1.030027618
403	1.029810794
404	1.029572479
405	1.029403927
406	1.029223256
407	1.028996
408	1.028814461
409	1.028506246
410	1.028318619
411	1.028146453
412	1.02801935
413	1.027812705
414	1.027647173
415	1.02743951
416	1.027296031
417	1.027147633
418	1.026985204
419	1.026822914
420	1.026681666
421	1.026532435
422	1.026363827
423	1.026086888
424	1.02589332
425	1.025655413
426	1.025503208
427	1.02538754
428	1.0252401
429	1.025191258
430	1.024975051
431	1.024761919
432	1.024617211
433	1.024497742
434	1.024306705
435	1.024160147
436	1.023974952
437	1.023754843
438	1.023636065
439	1.023428651
440	1.02323841
441	1.023102182
442	1.022947787
443	1.022838359
444	1.022667
445	1.022518962
446	1.022437491
447	1.022311865
448	1.022110858
449	1.02186473
450	1.021719132
451	1.021553922
452	1.021356426
453	1.021215751
454	1.021031868
455	1.02086361
456	1.020695689
457	1.020543895
458	1.020351575
459	1.020235753
460	1.020057782
461	1.019849939
462	1.019718431
463	1.019574347
464	1.019488477
465	1.019322041
466	1.019190558
467	1.01901325
468	1.018903431
469	1.018772196
470	1.018590528
471	1.018521786
472	1.018242276
473	1.018123343
474	1.017930219
475	1.017773756
476	1.017580145
477	1.017420308
478	1.017260621
479	1.017168744
480	1.017039377
481	1.016824427
482	1.016694584
483	1.016484038
484	1.016355784
485	1.016225004
486	1.016122882
487	1.015987379
488	1.015878327
489	1.015773034
490	1.015604813
491	1.01551193
492	1.01539484
493	1.01523604
494	1.015038732
495	1.014886357
496	1.01481524
497	1.014657443
498	1.014600483
499	1.014450624
500	1.014292307
501	1.014215456
502	1.01406926
503	1.014011761
504	1.013876463
505	1.013716752
506	1.013645576
507	1.013534315
508	1.013396107
509	1.01325878
510	1.0131719
511	1.013066324
512	1.012901665
513	1.012828613
514	1.012703629
515	1.012620032
516	1.012525258
517	1.012378987
518	1.012313704
519	1.012230901
520	1.012071256
521	1.011883142
522	1.011751499
523	1.011529798
524	1.011374081
525	1.011247048
526	1.01113025
527	1.011022049
528	1.010930224
529	1.010756208
530	1.01064056
531	1.010499145
532	1.010391275
533	1.01026822
534	1.010157682
535	1.010086362
536	1.009982392
537	1.009882969
538	1.009742358
539	1.009614859
540	1.009508548
541	1.009217363
542	1.009089666
543	1.008954967
544	1.008773767
545	1.008663199
546	1.008523583
547	1.008443812
548	1.008373804
549	1.008251923
550	1.008118468
551	1.008024728
552	1.007913733
553	1.007799649
554	1.007650414
555	1.007555734
556	1.007486235
557	1.007331285
558	1.007231668
559	1.007049737
560	1.006899445
561	1.006825033
562	1.00672992
563	1.006582672
564	1.006434633
565	1.006318398
566	1.006243709
567	1.006229799
568	1.006174904
569	1.006112894
570	1.006012707
571	1.00587026
572	1.005751274
573	1.00561808
574	1.005579946
575	1.005452852
576	1.00531841
577	1.005193282
578	1.005118028
579	1.005020929
580	1.004957542
581	1.00484033
582	1.004603578
583	1.004490481
584	1.004360735
585	1.004228861
586	1.004074081
587	1.003883769
588	1.003785202
589	1.003628235
590	1.003477605
591	1.003451651
592	1.003382006
593	1.003307794
594	1.003247201
595	1.003129895
596	1.003014665
597	1.002900225
598	1.002771925
599	1.002723623
600	1.002631469
601	1.002529317
602	1.002389915
603	1.002285752
604	1.002224916
605	1.00216762
606	1.002075491
607	1.001922943
608	1.001837877
609	1.001743387
610	1.001613125
611	1.001519366
612	1.00145614
613	1.001331047
614	1.001221326
615	1.000937802
616	1.000811412
617	1.000645345
618	1.000611273
619	1.000513996
620	1.00037439
621	1.00026388
622	1.000147115
623	1.000073332
624	0.9999105839
625	0.9998674207
626	0.9997351238
627	0.9996170304
628	0.9995565012
629	0.9994430726
630	0.9993939115
631	0.9993026838
632	0.9991714276
633	0.9990378189
634	0.9989251694
635	0.9988029351
636	0.9986983025
637	0.9986083373
638	0.9985552262
639	0.9985111763
640	0.9984729331
641	0.9983443352
642	0.9982028312
643	0.998088808
644	0.9979827905
645	0.9978085318
646	0.9977031367
647	0.9976288025
648	0.9975288383
649	0.9974674334
650	0.9973769965
651	0.9972676461
652	0.9971505376
653	0.9970625039
654	0.9970320879
655	0.9969259363
656	0.9968450474
657	0.9968146525
658	0.9967544457
659	0.9966612517
660	0.9965645884
661	0.9964885446
662	0.9962670909
663	0.9961718182
