iter	Passed	Remaining
0	5009	5004764
1	9092	4537154
2	12676	4212825
3	15944	3970145
4	19127	3806402
5	22693	3759572
6	26721	3790569
7	30872	3828139
8	34775	3829214
9	38172	3779108
10	41720	3751079
11	45184	3720175
12	49584	3764601
13	53460	3765155
14	56624	3718360
15	59794	3677355
16	62791	3630832
17	66343	3619406
18	69292	3577661
19	72330	3544189
20	75433	3516660
21	78698	3498519
22	81828	3475927
23	84708	3444830
24	87704	3420481
25	90592	3393741
26	93774	3379348
27	96725	3357741
28	99627	3335788
29	103186	3336365
30	106436	3327010
31	109506	3312574
32	112473	3295826
33	115795	3289960
34	119166	3285580
35	121994	3266751
36	124846	3249376
37	127766	3234519
38	130658	3219562
39	133542	3205025
40	136444	3191465
41	139619	3184656
42	142406	3169381
43	145300	3156972
44	148204	3145231
45	151206	3135897
46	154062	3123870
47	156934	3112543
48	159754	3100545
49	162656	3090478
50	165531	3080187
51	168426	3070548
52	171299	3060774
53	174232	3052302
54	177134	3043495
55	180140	3036658
56	183341	3033170
57	186473	3028583
58	189366	3020229
59	192350	3013488
60	195427	3008305
61	198308	3000210
62	201334	2994455
63	204322	2988221
64	207206	2980579
65	210116	2973460
66	213032	2966558
67	215903	2959144
68	218788	2952056
69	221673	2945094
70	224731	2940498
71	227581	2933278
72	230431	2926169
73	233302	2919435
74	236122	2912181
75	239113	2907116
76	242044	2901391
77	245322	2899840
78	248162	2893133
79	251072	2887330
80	253995	2881754
81	256891	2875929
82	259825	2870599
83	262705	2864741
84	265679	2859958
85	268605	2854713
86	271500	2849197
87	274399	2843771
88	277293	2838364
89	280109	2832221
90	283041	2827300
91	285893	2821645
92	288781	2816396
93	291792	2812378
94	294725	2807645
95	297683	2803188
96	300547	2797877
97	303415	2792657
98	306321	2787839
99	309194	2782749
100	312088	2777900
101	315071	2773865
102	318134	2770548
103	320994	2765488
104	323913	2760975
105	326976	2757709
106	330181	2755627
107	333091	2751088
108	335995	2746533
109	338867	2741746
110	341789	2737391
111	344737	2733272
112	347660	2728981
113	350845	2726747
114	353742	2722280
115	356566	2717280
116	359585	2713793
117	362493	2709484
118	365347	2704799
119	368329	2701080
120	371226	2696764
121	374107	2692350
122	376991	2687977
123	379842	2683402
124	382670	2678691
125	385623	2674882
126	388482	2670438
127	391448	2666740
128	394257	2662004
129	397385	2659426
130	400282	2655309
131	403225	2651513
132	406188	2647857
133	409194	2644496
134	412060	2640238
135	414949	2636152
136	418098	2633717
137	421156	2630703
138	424237	2627830
139	427103	2623637
140	430229	2621045
141	433263	2617887
142	436619	2616662
143	439711	2613839
144	442634	2610018
145	445539	2606102
146	448475	2602379
147	451316	2598121
148	454260	2594467
149	457224	2590938
150	460140	2587149
151	463451	2585569
152	466374	2581825
153	469066	2576821
154	472232	2574426
155	475764	2574006
156	479292	2573524
157	483027	2574106
158	486218	2571757
159	489219	2568402
160	492080	2564320
161	494920	2560145
162	498153	2558002
163	501270	2555255
164	504612	2553645
165	507624	2550356
166	510681	2547289
167	514007	2545559
168	516835	2541361
169	519682	2537272
170	522592	2533503
171	525420	2529348
172	528423	2526048
173	531368	2522473
174	534282	2518759
175	537369	2515865
176	540346	2512459
177	543382	2509326
178	546279	2505559
179	549048	2501223
180	552048	2497943
181	555169	2495211
182	558433	2493115
183	561271	2489118
184	564732	2487875
185	567933	2485472
186	570932	2482181
187	573615	2477532
188	576271	2472783
189	578999	2468367
190	581920	2464783
191	584664	2460461
192	587465	2456395
193	590205	2452092
194	592773	2447090
195	595496	2442751
196	598224	2438448
197	601282	2435498
198	603990	2431135
199	606588	2426354
200	609259	2421882
201	612134	2418232
202	614719	2413456
203	618138	2411952
204	621786	2411316
205	625047	2409163
206	628151	2406398
207	631059	2402880
208	634230	2400365
209	637106	2396732
210	640119	2393620
211	642985	2389964
212	646000	2386864
213	649373	2385080
214	653124	2384662
215	656751	2383765
216	660025	2381565
217	663324	2379449
218	666258	2376017
219	669270	2372867
220	672620	2370911
221	675860	2368556
222	679172	2366445
223	682599	2364720
224	685686	2361809
225	688735	2358765
226	692091	2356771
227	695815	2356005
228	699318	2354475
229	702453	2351692
230	705671	2349184
231	708896	2346691
232	711892	2343440
233	715201	2341215
234	718854	2340100
235	722312	2338332
236	725073	2334306
237	727966	2330717
238	730817	2326996
239	733708	2323410
240	736518	2319576
241	739297	2315650
242	741933	2311290
243	744588	2307002
244	747700	2304137
245	750682	2300873
246	753616	2297462
247	756714	2294554
248	759997	2292200
249	763209	2289628
250	766002	2285800
251	769104	2282898
252	772218	2280027
253	775399	2277353
254	778692	2275004
255	781712	2271852
256	784383	2267691
257	787077	2263611
258	790335	2261151
259	793433	2258232
260	796743	2255913
261	799877	2253089
262	802740	2249505
263	805591	2245892
264	808620	2242778
265	811697	2239795
266	814568	2236250
267	817455	2232750
268	820346	2229269
269	823300	2225960
270	826151	2222377
271	828839	2218364
272	831602	2214561
273	834289	2210562
274	837448	2207819
275	840441	2204635
276	843355	2201248
277	846429	2198280
278	849481	2195255
279	852529	2192219
280	855617	2189285
281	858706	2186352
282	861846	2183547
283	865049	2180899
284	868137	2177958
285	871185	2174918
286	874348	2172161
287	877012	2168170
288	879735	2164331
289	882310	2160139
290	884896	2155984
291	887819	2152659
292	890877	2149658
293	893955	2146710
294	896576	2142666
295	899691	2139807
296	903158	2137779
297	906474	2135386
298	909876	2133187
299	913166	2130721
300	916205	2127667
301	919027	2124110
302	921810	2120469
303	924475	2116561
304	927187	2112771
305	929940	2109079
306	932824	2105691
307	935964	2102881
308	938818	2099429
309	941879	2096440
310	944715	2092955
311	947499	2089358
312	950410	2086044
313	953458	2083033
314	956519	2080051
315	959936	2077836
316	963495	2075922
317	966546	2072907
318	969655	2070017
319	972750	2067094
320	975912	2064313
321	978978	2061327
322	982132	2058524
323	985118	2055370
324	988082	2052171
325	990977	2048831
326	993879	2045506
327	996703	2042025
328	999545	2038586
329	1002574	2035529
330	1005632	2032532
331	1008632	2029416
332	1011577	2026192
333	1014643	2023210
334	1017649	2020110
335	1021084	2017858
336	1024277	2015121
337	1027233	2011918
338	1030175	2008690
339	1033616	2006432
340	1036845	2003756
341	1039896	2000736
342	1042919	1997662
343	1045980	1994660
344	1048941	1991468
345	1052171	1988786
346	1055218	1985756
347	1058113	1982441
348	1061109	1979319
349	1064138	1976256
350	1067392	1973611
351	1070788	1971224
352	1074248	1968947
353	1077625	1966514
354	1080705	1963535
355	1083684	1960372
356	1087269	1958304
357	1090574	1955723
358	1093805	1953006
359	1097213	1950601
360	1100245	1947525
361	1103932	1945605
362	1106965	1942526
363	1110771	1940798
364	1113517	1937215
365	1116381	1933841
366	1119341	1930635
367	1122086	1927060
368	1124896	1923604
369	1127618	1919998
370	1130606	1916850
371	1133929	1914267
372	1136767	1910866
373	1139969	1908077
374	1143153	1905256
375	1146267	1902315
376	1149165	1899018
377	1152014	1895643
378	1154753	1892088
379	1157492	1888540
380	1160154	1884869
381	1163010	1881519
382	1165816	1878091
383	1168561	1874567
384	1171550	1871438
385	1174779	1868691
386	1177868	1865720
387	1180724	1862380
388	1183560	1859011
389	1186726	1856161
390	1190026	1853519
391	1193297	1850828
392	1196510	1848044
393	1199711	1845242
394	1202775	1842225
395	1205892	1839289
396	1209120	1836523
397	1212380	1833802
398	1216009	1831633
399	1219474	1829212
400	1222517	1826154
401	1225583	1823132
402	1228786	1820311
403	1232106	1817662
404	1235239	1814733
405	1238646	1812206
406	1241959	1809538
407	1245202	1806765
408	1248172	1803594
409	1251152	1800439
410	1254350	1797597
411	1257448	1794611
412	1260352	1791349
413	1263129	1787907
414	1265936	1784513
415	1268757	1781140
416	1271577	1777768
417	1274382	1774379
418	1277179	1770981
419	1280203	1767899
420	1283159	1764725
421	1286314	1761824
422	1289406	1758835
423	1292499	1755848
424	1295561	1752817
425	1298774	1749991
426	1301834	1746958
427	1304657	1743607
428	1307517	1740308
429	1310412	1737058
430	1313498	1734062
431	1316615	1731106
432	1319619	1728000
433	1322303	1724478
434	1325186	1721218
435	1328196	1718125
436	1331319	1715177
437	1334616	1712453
438	1337798	1709578
439	1340827	1706508
440	1343940	1703544
441	1347002	1700515
442	1349954	1697346
443	1353144	1694478
444	1356277	1691537
445	1359454	1688650
446	1362668	1685806
447	1365667	1682696
448	1368614	1679524
449	1371755	1676589
450	1374757	1673485
451	1377849	1670490
452	1380969	1667528
453	1384318	1664841
454	1387465	1661909
455	1390664	1659038
456	1393717	1655992
457	1396804	1652987
458	1399885	1649974
459	1403141	1647165
460	1406216	1644145
461	1409295	1641127
462	1412092	1637783
463	1414755	1634286
464	1417395	1630766
465	1420064	1627283
466	1422959	1624063
467	1425761	1620737
468	1428377	1617203
469	1431562	1614315
470	1434542	1611195
471	1437523	1608077
472	1440772	1605258
473	1443750	1602136
474	1446905	1599211
475	1449748	1595942
476	1452514	1592589
477	1455476	1589453
478	1458511	1586398
479	1461332	1583110
480	1464350	1580037
481	1467664	1577282
482	1470798	1574333
483	1473964	1571416
484	1476880	1568234
485	1479837	1565095
486	1482790	1561954
487	1485993	1559075
488	1489031	1556022
489	1492081	1552982
490	1495253	1550069
491	1498350	1547077
492	1501393	1544029
493	1504399	1540943
494	1507286	1537736
495	1510287	1534647
496	1513412	1531682
497	1516632	1528814
498	1519723	1525814
499	1522988	1522988
500	1526262	1520169
501	1529532	1517344
502	1532674	1514392
503	1535849	1511471
504	1539028	1508552
505	1542166	1505593
506	1545167	1502500
507	1548147	1499387
508	1551206	1496350
509	1554226	1493276
510	1557322	1490275
511	1560704	1487546
512	1564374	1485088
513	1567469	1482082
